ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Парковка,Цена,Телефоны,Описание,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,Ссылка на объявление
315690340,2,Квартира,м. Кутузовская (3 мин пешком),"Москва, Кутузовский проспект, 30",64.0/35.0/9.0,4/11,наземная,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79156123544,"В квартире выполнен косметический ремонт.  В наличии вся необходимая мебель, как в комнатах, так и на кухне. Санузел раздельный, оборудован душевой кабиной. Окна квартиры выходят на набережную Тараса Шевченко и Москва  Сити.

Чистый подъезд, домофон, видеонаблюдение, въезд в благоустроенный двор ограничен шлагбаумами, где есть места для парковки автомобиля. Престижный центр, развитая инфраструктура, прекрасная транспортная доступность. В этом историческом доме проживали Л.И. Брежнев, Ю.В. Андропов, А.А. Гречко. 

Рядом с домом находятся школы, детские сады и магазины, хорошая транспортная доступность позволяет быстро добраться до центра города и других районов.

Условия аренды: договор аренды заключается на длительный срок. Предусмотрен залог в размере месячной арендной платы. Вода, электричество, интернет оплачивается дополнительно по счетчикам. Показы по договоренности., 20 фото",Косметический,,Балкон (1),На улицу,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,Пасс (1),Да,https://www.cian.ru/rent/flat/315690340
316903278,"3, Оба варианта",Квартира,м. Молодёжная (21 мин пешком),"Москва, улица Маршала Тимошенко, 4",76.0/47.7/7.0,3/4,наземная,"95000.0 руб./ За месяц, Залог - 95000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79339368741,"Сдаётся атмосферная трёхкомнатная квартира в одном из самых зелёных районов Москвы. Формат Дача в городе: Окна на лес, воздух как за городом. Тихий ухоженный дворик, несколько детских площадок, освещённые аллеи и трассы для беговых лыж в лесу, стадион для пробежек. Дом признан культурным наследием города.  Кирпичный 4-х этажный дом, квартира расположена на третьем этаже.  Свежий ремонт 2019 и 2022 года. Дизайн квартиры выполнен в классическом стиле.  Общая площадь 76 кв. м, потолки 3,20. 
Гостиная - столовая  20,3 кв. м, с раскладным двуспальным диваном, спальня  13,3 кв. м, с кабинетной зоной и богатой библиотекой, спальня  14,1 кв. м. Кухня 7 кв. м, с застекленным балконом.  Телевизоры в двух комнатах и на кухне. Есть кладовка со стиральной машинкой и местом для хранения. Стеклопакеты во всех комнатах, 2 кондиционера. Санузел раздельный,  домофон, сигнализация. В подъезде имеется пространство для хранения  колясок/санок. Парковочные места около дома всегда в наличии. Рядом ТЦ  Кунцев ..., 23 фото",Евроремонт,,Балкон (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,,,https://www.cian.ru/rent/flat/316903278
262178317,"2, Изолированная",Квартира,м. Студенческая (8 мин пешком),"Москва, Кутузовский проспект, 31",49.0/29.0/8.0,"7/8, Кирпичный",,"95000.0 руб./ За месяц, Залог - 95000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79390181579, +79851633970","Сдаётся квартира с Евроремонтом окна стеклопакеты на полу Ламинат. Сталинский дом!Сан раздельный- Душевая кабина. Вся мебель необходимая присутствует. Кухонный гарнитур. В комнатах кровать двуспальная, шкаф купе. В другой комнате минимум мебели .Вся бытовая техника присутствует включая посудомоечную машину и кондиционер. Окна выходят во двор., 37 фото",Евроремонт,,,Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник",,,Пасс (1),Да,https://www.cian.ru/rent/flat/262178317
317888310,"2, Изолированная",Квартира,м. Киевская (8 мин пешком),"Москва, Кутузовский проспект, 1/7",57.5/10.0,"3/7, Кирпичный",наземная,"99990.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79390179127,"Объявление с реальной ценой и условиями! 
Самая низкая комиссия среди других агентств! 

На длительный срок сдаётся прекрасная 2-к квартира с возможностью временной  регистрaции.

Закpытая oxpаняeмaя терpитopия дoмa. 

Есть двуспальная кровать и двуcпaльный рacкладывaющийcя дивaн (новый) в гоcтинoй.

Диван новый. Maтpaс нa кровати нoвый. Teкcтиль веcь тоже нoвый (постельнoe бельe, пoлотeнца). 

Оcнащeна всей неoбxодимой тeхникoй:
•стиральная машина
• холодильник
•чайник
• плита.
Есть Wi-Fi.

Есть балкон с видом на гостиницу ""Украину"". Все окна выходят на тихий двор. 

Условия: 100 + счетчики + интернет (650р, МТС)
Комиссия агенту 40%.

Только официальный договор., 17 фото",Косметический,,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,3.2,Пасс (1),Да,https://www.cian.ru/rent/flat/317888310
317941978,"2, Изолированная",Квартира,м. Ломоносовский проспект (15 мин пешком),"Москва, Мосфильмовская улица, 17/25",46.2/27.0/7.3,"1/8, Кирпичный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79164319503,"Впервые сдаем на длительный срок от года. Стильная квартира в отличном состоянии после капитального ремонта. ВНИМАНИЕ: окна на улицу, НО: 1) высокий первый этаж  со стороны Мосфильмовской улицы высота 1,5 этажа; 2) по два стеклопакета в спальнях  в квартире образцовая тишина; 3) установлены кондиционеры и бризеры, благодаря чему в квартире поддерживается комфортная температура и обновляется воздух без необходимости лишний раз открывать окна. Квартира без балкона. Две изолированные комнаты: спальня и кабинет. Вместительная оснащенная гардеробная комната. Полы с подогревом. Кухня оборудована встроенной бытовой техникой, включая посудомоечную машину, духовой шкаф, холодильник, свч, телевизор. Квартира также укомплектована стиральный машиной, пылесосом, утюгом, сушилкой для белья, посудой и т.п. Кабинет и спальня оснащены мебелью, в соответствии с фото. Раздельный санузел. В ванной душевая кабина. 

Замена мебели не рассматривается. 

Заключим договор с аккуратным человеком или семейной па ..., 16 фото",Дизайнерский,,,На улицу,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,2.8,Пасс (1),Да,https://www.cian.ru/rent/flat/317941978
283273426,"2, Изолированная",Квартира,м. Минская (22 мин пешком),"Москва, Веерная улица, 6",75.0/40.0/13.0,17/23,,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79104355108,"Предлагаем вашему вниманию уютную 2-комнатную квартиру в Москве на Веерной улице, 6. В квартире выполнен современный евроремонт. Оборудованная кухня и комнаты полностью меблированы, что позволит вам заселиться без дополнительных хлопот. Для вашего комфорта установлены кондиционер, холодильник и стиральная машина. Ванная комната оснащена ванной. 

Дом находится в хорошем состоянии, с лифтом и удобной парковкой. Территория благоустроена, а соседи — доброжелательные и спокойные. Рядом с домом расположены школы, детские сады и клиники, что делает это место идеальным для семей с детьми. В шаговой доступности также находятся магазины для вашего удобства.

Условия аренды прозрачные: договор исключительно на длительный срок, без скрытых комиссий.  Квартира идеально подходит для семьи или пары, которые ценят комфорт и удобство проживания.

Приглашаем вас на просмотр, чтобы убедиться в преимуществах этого жилья лично!, 21 фото",Евроремонт,,Лоджия (1),На улицу и двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник, Интернет",,,,,https://www.cian.ru/rent/flat/283273426
314370485,2,Квартира,м. Поклонная (21 мин пешком),"Москва, Мосфильмовская улица, 6",57.5,"4/8, Кирпичный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79197759876,"Квартира в престижном районе столицы, рядом с киностудией ""Мосфильм"", полностью меблирована и оснащена всей необходимой техникой для комфортного проживания. Высокие потолки 3,1м создают ощущение простора и комфорта. Для удобства в квартире установлены: кондиционер, холодильник, телевизор, стиральная машина, 2 санузла с ванной и душевой кабиной.

Зелёный район, огороженная территория, въезд через шлагбаум, в подъезде пассажирский лифт. Для автомобилистов предусмотрена наземная парковка. Район прекрасно обустроен: рядом расположены школы, детские сады, магазины и многое другое, что делает его идеальным для семейного проживания.

Квартира сдаётся на длительный срок., 9 фото",Евроремонт,,Лоджия (1),На улицу и двор,"Совмещенный (1), Раздельный (1)",,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,3.1,Пасс (1),Да,https://www.cian.ru/rent/flat/314370485
309516701,3,Квартира,м. Поклонная (18 мин пешком),"Москва, улица Пырьева, 4К3",77.0/48.0/10.0,"7/8, Кирпичный",,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79175853866,"Рассматривают с воспитанными питомцами, можно иностранцев. Квартира в отличном состоянии, выполнили генеральную уборку, полностью оборудована мебелью и всей бытовой техникой. Две спальни и кухня объединена с гостиной. Три кондиционера, посудомоечная машина, холодильник, отдельная морозильная камера, стиральная машина, телевизор, очень много шкафов. Длительная аренда. Можно с воспитанным питомцем, 37 фото",Евроремонт,,Лоджия (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,3.0,Пасс (1),,https://www.cian.ru/rent/flat/309516701
294906448,"3, Оба варианта",Квартира,м. Аминьевская (21 мин пешком),"Москва, Большая Очаковская улица, 11",92.0/42.0/30.0,"3/5, Кирпичный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79947803558,"ВАШEМУ BНИМАНИЮ! Отличная евро-трeхкoмнатная кваpтира с высокими потолками и xopoшим peмoнтом! Просторная, уютнaя, в зеленом районе.

B KВAPTИРЕ большая кухня-гостиная, детская, мастер-спальня с гардеробной, очень просторный санузел, балкон. На кухне: функциональный кухонный гарнитур, газовая плита, духовка, вытяжка, холодильник, барный стол со стульями, над которым есть место для вина и бокалов. Также имеется посудомойка (на данный момент не работает, заказаны детали). В гостиной: кондиционер, мягкий удобный диван (раскладывается), ТВ, шкаф-комод под ТВ, журнальный стол, книжный шкаф, напольный светильник. Организовано рабочее место, если Вы работаете из дома - очень удобно. В мастер-спальне: большая кровать с удобным матрасом, прикроватные тумбы, комод, стул, напольный светильник и большая гардеробная, где найдется место для всех Ваших вещей и которую Вы можете дополнить / оборудовать под себя. На полу ковровое покрытие. В детской: полноценное рабочее место, 2 кровати (вторая выдвига ..., 24 фото",Евроремонт,,Балкон (1),На улицу и двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,3.2,,,https://www.cian.ru/rent/flat/294906448
317427124,"2, Изолированная",Квартира,м. Аэропорт Внуково (14 мин пешком),"Москва, пос. Внуково, улица Большая Внуковская, 1, ш. Киевское (13 км до МКАД), ш. Боровское (14 км до МКАД)",44.0/28.0/6.0,"3/5, Кирпичный",,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79891464059,"Предлагается в аренду светлая и комфортная 2-комнатная квартира в тихом, зелёном дворе. Отличное расположение: рядом находятся школы, детские сады, супермаркеты и прогулочная зона вдоль живописной реки — идеальное место для семейных прогулок и отдыха на природе.

Удобная транспортная доступность:
• метро Внуково — 10 минут пешком
• метро Саларьево — 15 минут на автобусе
• Внуково Outlet Village — всего 10 минут на машине

Дом расположен в спокойном районе с развитой инфраструктурой и приятным соседством. Идеальный вариант для тех, кто ценит комфорт, природу и удобство городской жизни., 8 фото",Евроремонт,,Балкон (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник",,2.48,,Нет,https://www.cian.ru/rent/flat/317427124
316752791,"3, Оба варианта",Квартира,м. Кутузовская (19 мин пешком),"Москва, 3-й Сетуньский проезд, 3",60.0/43.0/6.0,5/10,наземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79230706394,"ОПЕРАТИВНЫЙ ПОКАЗ!
Собственник будет на просмотре и подписании договора!
Юридическое сопровождение договора аренды: анализ необходимой документации, согласование проекта договора аренды с потенциальным арендатором!
				
Уютная светлая  квартира  по отличной цене !
Свежий ремонт!
Великолепный вид из окна!
Холодильник, телевизор, встроенная кухня, интернет, Wi-Fi.
Большая квартира с отличным ремонтом для аренды на длительный срок.
Имеется вся необходимая мебель и бытовая техника, кондиционер, телевизор, wi-fi роутер, стиральная машина, холодильник, кухонная техника, посуда.
Рядом находятся все магазины, аптеки, школа, детский сад, детские площадки, спортивная площадка, кафе, детские кружки, салоны красоты и спортивный клуб.
Зелёный район, множество парков вокруг, развитая инфраструктура района.
Сдаём на длительный срок.
У собственника могут быть дополнительные пожелания к жильцам.

На все Ваши вопросы ответит специалист Агентства Недвижимости Алексей., 14 фото",Косметический,,Балкон (1),На улицу и двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,Пасс (1),,https://www.cian.ru/rent/flat/316752791
317826913,"2, Изолированная",Квартира,м. Кунцевская (6 мин пешком),"Москва, Кутузовский проспект, 82",56.0/40.0/8.0,"5/5, Кирпичный",наземная,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79230727750,"Арт. 105176163 Предлагаем вам уютную 2-комнатную квартиру в аренду на Кутузовском проспекте, 82, в Москве. Квартира расположена на последнем, 5-м этаже дома, построенного в 1960 году. Общая площадь составляет 56 кв. м, а высота потолков — 3 метра, что добавляет ощущение простора. Метро ""Кунцевская"" всего в 6 минутах пешком. В квартире сделан качественный ремонт, и она полностью готова к комфортному проживанию. Есть вся необходимая мебель на кухне и в комнате. Окна выходят как на улицу, так и во двор, поэтому можно наслаждаться как городскими видами, так и уютной тишиной. Квартира оборудована современной техникой: кондиционер, холодильник, посудомоечная и стиральная машины, а также телевизор. Ванная комната оснащена ванной, что позволит расслабиться после долгого дня. Дом находится в хорошем состоянии. Для вашего удобства в доме есть доступ к интернету. Балкон позволяет наслаждаться свежим воздухом, не выходя из квартиры. Район с развитой инфраструктурой: рядом школы, детские сады и маг ..., 12 фото",Косметический,20-20,Балкон (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,3.0,,,https://www.cian.ru/rent/flat/317826913
303227525,2,Квартира,м. Москва-Сити (6 мин пешком),"Москва, Кутузовский проспект, 24",54.0/35.0/3.0,"3/10, Кирпичный",,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79891515883,"Квартира в прекрасной локации. 5 минут до метро и Москва Сити через мост Багратион. 

Окна выходят в сторону Кутузовского проспекта. Комнаты не проходные, просторные и светлые. 

Квартира уютная и атмосферная. 

Очень уютный внутренний двор. 

Сдается с июня., 10 фото",Косметический,,,На улицу,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник",,3.2,Пасс (1),Да,https://www.cian.ru/rent/flat/303227525
